Acronym,Level of User,Measure of:,Name,Item,Item Name,Edition Number,Ages,Number of Items,Location,Ordering Company,IsArchived
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Manual,,3,,1,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,CD,Scoring Assistant and Intervention Planner,3,,1,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,USB Stick,Scoring Assistant and Intervention Planner,3,,1,Ask Clinic Admin,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Adult Form,3,16 to 89,Around 50,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Parent/Primary Caregiver Form,3,0 to 5,3,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Teacher/Daycare Provider Form,3,2 to 5,4,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Parent Form,3,5 to 21,22,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Teacher Form,3,5 to 21,20,Second Floor,WPS,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Manual,,3,,,Online Platform,WPS Login,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Adult-Self Form,3,16 to 89,,Online Platform,WPS Login,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Parent Form,3,5 to 21,,Online Platform,WPS Login,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Form,Teacher Form,3,5 to 21,,Online Platform,WPS Login,0
ABAS-3,C,Adaptive Functioning,Adaptive Behavior Assessment System,Scoring,,3,,,Computer-186 Side,USB Key Needed,0
ABS-S:2,,Adaptive Functioning,AAMR Adaptive Behavior Scale-School,Manual,Examiner's Manual,2,,1,Second Floor,Canada Skill Builders,0
ABS-S:2,,Adaptive Functioning,AAMR Adaptive Behavior Scale-School,Form,Examination Booklet,2,,Around 20,Second Floor,Canada Skill Builders,0
ABS-S:2,,Adaptive Functioning,AAMR Adaptive Behavior Scale-School,Form,Profile/Summary Form,2,,Around 25,Second Floor,Canada Skill Builders,0
ACL,,Personality,Adjective Check List,Form,Booklet,,,Around 25,Second Floor,Mind Garden,0
ACL,,Personality,Adjective Check List,Form,Profile Form,,,Around 25,Second Floor,Mind Garden,0
ACL,,Personality,Adjective Check List,Form,Answer Sheet,,,1,Second Floor,Mind Garden,0
ACL,,Personality,Adjective Check List,Form,Parker Answer Sheet,,,Around 15,Second Floor,Mind Garden,0
ADI-R,C,Autism,Autism Diagnostic Interview-Revised,Manual,,,,1,Second Floor,WPS,0
ADI-R,C,Autism,Autism Diagnostic Interview-Revised,Form,Interview Booklet,,,10,Second Floor,WPS,0
ADI-R,C,Autism,Autism Diagnostic Interview-Revised,Form,Comprehensive Algorithm Form,,,20,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Manual,,2,,3,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Book,Training Videos Guidebook,2,,1,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Form,"Toddler Module
Pre-Verbal/Single 
Words",2,,14,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 1
Pre-Verbal/Single 
Words",2,,22,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 2
Phrase Speech",2,,38,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 3
Fluent Speech
Child/Adolescent",2,,27,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,Form,"Module 4
Fluent Speech
Adolescent/Adult",2,,40,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,CD,Training Protocols,2,,1,Second Floor,WPS,0
ADOS-2,C,Autism,Autism Diagnostic Observation Schedule,CD,"Training and Practice Video (Part 2): Toddler Module
Workshop Video 3: Toddler Module",2,,1,Second Floor,WPS,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Manual,Manual for the ASEBA Preschool Forms & Profiles,,,1,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Manual,Manual for the ASEBA School-Age Forms & Profiles,,,1,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,"Semistructured Clinical Interview for Children & Adolescents
Protocol Form",,6 to 18,11,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,"Semistructured Clinical Interview
Observation Form",,,Around 30,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,Youth Self-Report,,11 to 18,Around 50,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,"TRF
Teacher's Report Form",,6 to 18,Over 50,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,"CBCL
Child Behaviour Checklist",,1 1/2 to 5,Over 25,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,"CBCL
Child Behaviour Checklist",,6 to 18,Over 25,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,French Version - Child Behaviour Checklist,,6 to 18,Over 25,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Form,Caregiver-Teacher Report Form,,1 1/2 to 5,Over 25,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,CD,"Assessment Data Manager
Version 6.5",,,1,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,CD,"Training for the SCICA
Semistructured Clinical Interview for Children & Adolescents",,,1,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,CD,"Assessment Data Manager
Version 6.0",,,2,Second Floor,ASEBA - version 6.5 available,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,CD,"Assessment Data Manager
Version 5.0",,,1,Second Floor,ASEBA - version 6.5 available,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,Manual,"SCICA
Semistructured Clinical Interview for Children & Adolescents",2,,1,Second Floor,ASEBA,0
ASEBA,,General Behaviour and Emotion,Achenbach System of Empirically Based Assessment,CD,"SCICA
Semistructured Clinical Interview for Children & Adolescents
VHS - Videotape Training Segment",,,1,Second Floor,ASEBA,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Manual,For Children and Adolescents,,,1,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Diagnostic Form
Children",,3 to 12,7,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Diagnostic Form
for Adolescents
Revised",,12 to 18,9,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Adolescent
Ready Score Answer Document",,,5,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Parent Form
Ready Score Answer Document",,3 to 7,5,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Teacher Form
Ready Score Answer Document",,3 to 7,5,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Parent Form
Ready Score Answer Document",,8 to 12,5,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Teacher Form
Ready Score Answer Document",,8 to 12,5,Second Floor,Pearson,0
BADDS,B,Attention/ADHD,Brown Attention-Deficit Disorder Scales,Form,"Self Report Form
Ready Score Answer Document",,8 to 12,5,Second Floor,Pearson,0
