ID,Status,ItemType,ItemName,Ages,Location,TestID,IsArchived,Notes,12
ABAS-2-0,1,Form,Adult Form,16 to 89,Archive Third Floor,ABAS-2,0,,7
ABAS-2-1,1,Form,Parent/Primary Caregiver Form,0 to 5,Archive Third Floor,ABAS-2,0,,4
ABAS-2-2,1,Form,Teacher/Daycare Provider Form,2 to 5,Archive Third Floor,ABAS-2,0,,9
ABAS-2-3,1,Form,Parent Form,5 to 21,Archive Third Floor,ABAS-2,0,,13
ABAS-2-4,1,Form,Teacher Form,5 to 21,Archive Third Floor,ABAS-2,0,,19
ABAS-3-5,1,Manual,,,Second Floor,ABAS-3,0,,17
ABAS-3-6,1,CD,Scoring Assistant and Intervention Planner,,Second Floor,ABAS-3,0,,14
ABAS-3-7,1,USB Stick,Scoring Assistant and Intervention Planner,,Ask Clinic Admin,ABAS-3,0,,11
ABAS-3-8,1,Book,Intervention Planner,,,ABAS-3,0,,20
ABAS-3-9,1,Form,Adult Form,16 to 89,Second Floor,ABAS-3,0,,15
ABAS-3-10,1,Form,Parent/Primary Caregiver Form,0 to 5,Second Floor,ABAS-3,0,,2
ABAS-3-11,1,Form,Teacher/Daycare Provider Form,2 to 5,Second Floor,ABAS-3,0,,6
ABAS-3-12,1,Form,Parent Form,5 to 21,Second Floor,ABAS-3,0,,1
ABAS-3-13,1,Form,Teacher Form,5 to 21,Second Floor,ABAS-3,0,,14
ABAS-3-14,1,Manual,,,Online Platform,ABAS-3,0,,10
ABAS-3-15,1,Form,Adult-Self Form,16 to 89,Online Platform,ABAS-3,0,,6
ABAS-3-16,1,Form,Parent Form,5 to 21,Online Platform,ABAS-3,0,,20
ABAS-3-17,1,Form,Teacher Form,5 to 21,Online Platform,ABAS-3,0,,7
ABAS-3-18,1,Scoring,,,Computer-186 Side,ABAS-3,0,,18
ABS-S:2-19,1,Manual,Examiner's Manual,,Second Floor,ABS-S:2,0,,9
ABS-S:2-20,1,Form,Examination Booklet,,Second Floor,ABS-S:2,0,,17
ABS-S:2-21,1,Form,Profile/Summary Form,,Second Floor,ABS-S:2,0,,17
ACL-22,1,Form,Booklet,,Second Floor,ACL,0,,15
ACL-23,1,Form,Profile Form,,Second Floor,ACL,0,,6
ACL-24,1,Form,Answer Sheet,,Second Floor,ACL,0,,17
ACL-25,1,Form,Parker Answer Sheet,,Second Floor,ACL,0,,4
ACL-26,1,Manual,,,,ACL,0,,17
ACLC-27,1,Manual,1973 Revision,,Archive Third Floor,ACLC,0,,20
ACLC-28,1,Book,1973 Revision,,Archive Third Floor,ACLC,0,,15
ACLC-29,1,Form,Recording Sheet for 1973 Revision,,Archive Third Floor,ACLC,0,,5
ADI-R-30,1,Manual,,,Second Floor,ADI-R,0,,17
ADI-R-31,1,Form,Interview Booklet,,Second Floor,ADI-R,0,,2
ADI-R-32,1,Form,Comprehensive Algorithm Form,,Second Floor,ADI-R,0,,10
ADOS-33,1,Manual,,,Archive Third Floor,ADOS,0,,11
ADOS-34,1,Form,Module 1 Pre-Verbal/Single Words,,Archive Third Floor,ADOS,0,,13
ADOS-35,1,Form,Module 2 Phrase Speech,,Archive Third Floor,ADOS,0,,19
ADOS-36,1,Form,Module 4 Fluent Speech Adolescent/Adult,,Archive Third Floor,ADOS,0,,2
ADOS-37,1,CD,Workshop Video (DVD 1),,Archive Third Floor,ADOS,0,,14
ADOS-38,1,CD,Workshop Video (DVD 2),,Archive Third Floor,ADOS,0,,3
ADOS-2-39,1,Manual,,,Second Floor,ADOS-2,0,,11
ADOS-2-40,1,Book,Training Videos Guidebook,,Second Floor,ADOS-2,0,,13
ADOS-2-41,1,Form,Toddler Module Pre-Verbal/Single Words,,Second Floor,ADOS-2,0,,18
ADOS-2-42,1,Form,Module 1 Pre-Verbal/Single Words,,Second Floor,ADOS-2,0,,3
ADOS-2-43,1,Form,Module 2 Phrase Speech,,Second Floor,ADOS-2,0,,12
ADOS-2-44,1,Form,Module 3 Fluent Speech Child/Adolescent,,Second Floor,ADOS-2,0,,10
ADOS-2-45,1,Form,Module 4 Fluent Speech Adolescent/Adult,,Second Floor,ADOS-2,0,,7
ADOS-2-46,1,,Test materials/stimulus items and Toddler Module Stimulus Items,,,ADOS-2,0,,10
ADOS-2-47,1,CD,Training Protocols,,Second Floor,ADOS-2,0,,1
ADOS-2-48,1,CD,Training and Practice Video (Part 2): Toddler Module Workshop Video 3: Toddler Module,,Second Floor,ADOS-2,0,,1
ASEBA-49,1,Manual,Manual for the ASEBA Preschool Forms & Profiles,,Second Floor,ASEBA,0,,13
ASEBA-50,1,Manual,Manual for the ASEBA School-Age Forms & Profiles,,Second Floor,ASEBA,0,,15
ASEBA-51,1,Form,Semistructured Clinical Interview for Children & Adolescents Protocol Form,6 to 18,Second Floor,ASEBA,0,,20
ASEBA-52,1,Form,Semistructured Clinical Interview Observation Form,,Second Floor,ASEBA,0,,6
ASEBA-53,1,Form,Youth Self-Report,11 to 18,Second Floor,ASEBA,0,,17
ASEBA-54,1,Form,TRF Teacher's Report Form,6 to 18,Second Floor,ASEBA,0,,12
ASEBA-55,1,Form,CBCL Child Behaviour Checklist,1 1/2 to 5,Second Floor,ASEBA,0,,20
ASEBA-56,1,Form,CBCL Child Behaviour Checklist,6 to 18,Second Floor,ASEBA,0,,11
ASEBA-57,1,Form,French Version - Child Behaviour Checklist,6 to 18,Second Floor,ASEBA,0,,10
ASEBA-58,1,Form,Caregiver-Teacher Report Form,1 1/2 to 5,Second Floor,ASEBA,0,,5
ASEBA-59,1,CD,Assessment Data Manager Version 6.5,,Second Floor,ASEBA,0,,11
ASEBA-60,1,CD,Training for the SCICA Semistructured Clinical Interview for Children & Adolescents,,Second Floor,ASEBA,0,,10
ASEBA-61,1,CD,Assessment Data Manager Version 6.0,,Second Floor,ASEBA,0,,11
ASEBA-62,1,CD,Assessment Data Manager Version 5.0,,Second Floor,ASEBA,0,,3
ASEBA-63,1,Manual,SCICA Semistructured Clinical Interview for Children & Adolescents,,Second Floor,ASEBA,0,,2
ASEBA-64,1,CD,SCICA Semistructured Clinical Interview for Children & Adolescents VHS - Videotape Training Segment,,Second Floor,ASEBA,0,,12
BADDS-65,1,Manual,For Children and Adolescents,,Second Floor,BADDS,0,,19
BADDS-66,1,Form,Diagnostic Form Children,3 to 12,Second Floor,BADDS,0,,10
BADDS-67,1,Form,Diagnostic Form for Adolescents Revised,12 to 18,Second Floor,BADDS,0,,19
BADDS-68,1,Form,Adolescent Ready Score Answer Document,,Second Floor,BADDS,0,,11
BADDS-69,1,Form,Parent Form Ready Score Answer Document,3 to 7,Second Floor,BADDS,0,,8
BADDS-70,1,Form,Teacher Form Ready Score Answer Document,3 to 7,Second Floor,BADDS,0,,2
BADDS-71,1,Form,Parent Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,,13
BADDS-72,1,Form,Teacher Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,,15
BADDS-73,1,Form,Self Report Form Ready Score Answer Document,8 to 12,Second Floor,BADDS,0,,13
BADDS-74,1,Manual,For Adolescents and Adults,,,BADDS,0,,6
BADDS-75,1,Form,Adult Readyscore Self-Report Forms/Answer Documents,,,BADDS,0,,2
BADDS-76,1,Form,Adult Diagnostic Record Forms,,,BADDS,0,,9
BADDS-77,1,Form,Treatment Monitoring Worksheet,,,BADDS,0,,2
BAI-78,1,Manual,,,Second Floor,BAI,0,,17
BAI-79,1,Form,Record Form,,Second Floor,BAI,0,,3
BAI-80,1,Form,Response Sheet,,,BAI,0,,4
BAI-81,1,Form,"For remote, on-screen administration",,Online Platform,BAI,0,,12
BASC-3-82,1,Manual,,,Second Floor,BASC-3,0,,9
BASC-3-83,1,Form,Self-Report Interview (SRP),6 to 7,Second Floor,BASC-3,0,,2
BASC-3-84,1,Form,Self-Report Child (SRP),8 to 11,Second Floor,BASC-3,0,,15
BASC-3-85,1,Form,Self-Report Adolescent (SRP),,,BASC-3,0,,11
BASC-3-86,1,Form,Self-Report College (SRP),18 to 25,Second Floor,BASC-3,0,,7
BASC-3-87,1,Form,Parent Rating Scales (PRS) Preschool,2 to 5,Second Floor,BASC-3,0,,3
